Date	Species	Strain	Genotype	Group	Len_1	Len_2	H2O2	Dilutions	Count
06/16/22	Cg	yH262	msn4Δ	PO	45 min	2 hr	60 mM	1000	121
06/16/22	Cg	yH275	msn2Δmsn4Δ	MM	45 min	2 hr	0 mM	1000	597
06/16/22	Cg	yH275	msn2Δmsn4Δ	MO	45 min	2 hr	40 mM	1000	46
06/16/22	Cg	yH275	msn2Δmsn4Δ	MO	45 min	2 hr	60 mM	1000	22
06/16/22	Cg	yH275	msn2Δmsn4Δ	PM	45 min	2 hr	0 mM	1000	367
06/16/22	Cg	yH275	msn2Δmsn4Δ	PO	45 min	2 hr	40 mM	1000	101
06/16/22	Cg	yH275	msn2Δmsn4Δ	PO	45 min	2 hr	60 mM	1000	42
04/01/22	Sc	yH154	wt	M	2hr	0 min	0 mM	1000	301
04/01/22	Sc	yH154	wt	O	2hr	0 min	2 mM	100	474
04/01/22	Sc	yH154	wt	O	2hr	0 min	4 mM	100	360
04/01/22	Sc	yH154	wt	O	2hr	0 min	6 mM	100	260
04/01/22	Sc	yH154	wt	O	2hr	0 min	8 mM	100	202
04/01/22	Sc	yH154	wt	O	2hr	0 min	10 mM	100	150
04/01/22	Cg	yH001	wt	M	2hr	0 min	0 mM	1000	521
04/01/22	Cg	yH001	wt	O	2hr	0 min	20 mM	1000	114
04/01/22	Cg	yH001	wt	O	2hr	0 min	40 mM	1000	95
04/01/22	Cg	yH001	wt	O	2hr	0 min	60 mM	1000	41
04/01/22	Cg	yH001	wt	O	2hr	0 min	80 mM	1000	18
04/01/22	Cg	yH001	wt	O	2hr	0 min	100 mM	1000	7
03/28/22	Sc	yH154	wt	M	2hr	0 min	0 mM	1000	367
03/28/22	Sc	yH154	wt	O	2hr	0 min	2 mM	100	180
03/28/22	Sc	yH154	wt	O	2hr	0 min	4 mM	100	76
03/28/22	Sc	yH154	wt	O	2hr	0 min	6 mM	100	35
03/28/22	Sc	yH154	wt	O	2hr	0 min	8 mM	100	20
03/28/22	Sc	yH154	wt	O	2hr	0 min	10 mM	100	11
03/28/22	Cg	yH001	wt	M	2hr	0 min	0 mM	1000	594
03/28/22	Cg	yH001	wt	O	2hr	0 min	20 mM	1000	152
03/28/22	Cg	yH001	wt	O	2hr	0 min	40 mM	1000	71
03/28/22	Cg	yH001	wt	O	2hr	0 min	60 mM	1000	42
03/28/22	Cg	yH001	wt	O	2hr	0 min	80 mM	1000	12
03/28/22	Cg	yH001	wt	O	2hr	0 min	100 mM	1000	1
03/24/22	Sc	yH154	wt	M	2hr	0 min	0 mM	1000	337
03/24/22	Sc	yH154	wt	O	2hr	0 min	2 mM	100	378
03/24/22	Sc	yH154	wt	O	2hr	0 min	4 mM	100	324
03/24/22	Sc	yH154	wt	O	2hr	0 min	6 mM	100	290
03/24/22	Sc	yH154	wt	O	2hr	0 min	8 mM	100	218
03/24/22	Sc	yH154	wt	O	2hr	0 min	10 mM	100	110
03/24/22	Cg	yH001	wt	M	2hr	0 min	0 mM	1000	570
03/24/22	Cg	yH001	wt	O	2hr	0 min	20 mM	1000	180
03/24/22	Cg	yH001	wt	O	2hr	0 min	40 mM	1000	138
03/24/22	Cg	yH001	wt	O	2hr	0 min	60 mM	1000	122
03/24/22	Cg	yH001	wt	O	2hr	0 min	80 mM	1000	61
03/24/22	Cg	yH001	wt	O	2hr	0 min	100 mM	1000	47
03/22/22	Sc	yH154	wt	M	2hr	0 min	0 mM	1000	338
03/22/22	Sc	yH154	wt	O	2hr	0 min	2 mM	100	390
03/22/22	Sc	yH154	wt	O	2hr	0 min	4 mM	100	276
03/22/22	Sc	yH154	wt	O	2hr	0 min	6 mM	100	230
03/22/22	Sc	yH154	wt	O	2hr	0 min	8 mM	100	174
03/22/22	Sc	yH154	wt	O	2hr	0 min	10 mM	100	113
03/22/22	Cg	yH001	wt	M	2hr	0 min	0 mM	1000	667
03/22/22	Cg	yH001	wt	O	2hr	0 min	20 mM	1000	162
03/22/22	Cg	yH001	wt	O	2hr	0 min	40 mM	1000	126
03/22/22	Cg	yH001	wt	O	2hr	0 min	60 mM	1000	95
03/22/22	Cg	yH001	wt	O	2hr	0 min	80 mM	1000	37
